251658240:268435455 0:4294967295 0:65535 0:65535 0:255
3231124278:3231124278 251689402:251689402 0:65535 1521:1521 6:6
3231124278:3231124278 251689402:251689402 0:65535 0:1599 6:6
3231124278:3231124278 251689402:251689402 0:65535 0:1649 6:6
3231124295:3231124295 251689402:251689402 0:65535 1221:1221 6:6
3231124295:3231124295 251689402:251689402 0:65535 1521:1521 6:6
3231124295:3231124295 251689402:251689402 0:65535 0:1599 6:6
3231124295:3231124295 251689402:251689402 0:65535 0:1650 6:6
3231124306:3231124307 251689402:251689402 0:65535 1521:1521 6:6
3231124319:3231124319 251689402:251689402 0:65535 1521:1521 6:6
3231124323:3231124323 251689402:251689402 0:65535 1521:1521 6:6
3231124384:3231124384 251689402:251689402 0:65535 1521:1521 6:6
3231124384:3231124384 251689402:251689402 0:65535 14753:14753 6:6
3231124409:3231124409 251689402:251689402 0:65535 1521:1521 6:6
3231124409:3231124409 251689402:251689402 0:65535 14753:14753 6:6
3231124413:3231124413 251689402:251689402 0:65535 1521:1521 6:6
3231124413:3231124413 251689402:251689402 0:65535 14753:14753 6:6
3231124285:3231124285 251763764:251763764 0:65535 5540:5540 6:6
3231124285:3231124285 251763764:251763764 0:65535 5541:5541 6:6
3231124321:3231124321 251863674:251863674 0:65535 0:65535 6:6
3231123968:3231124479 251924505:251924505 0:65535 5555:5555 6:6
3231123968:3231124479 251924505:251924505 0:65535 0:65535 6:6
3231124285:3231124285 251933127:251933127 0:65535 5540:5540 6:6
3231124285:3231124285 251933127:251933127 0:65535 5541:5541 6:6
3231124286:3231124286 251941428:251941428 0:65535 1540:1540 6:6
3231124303:3231124303 252192806:252192806 0:65535 1433:1433 6:6
3231124271:3231124271 252218287:252218287 0:65535 1433:1433 6:6
3231124271:3231124271 252218413:252218413 0:65535 1433:1433 6:6
3231124271:3231124271 252218866:252218866 0:65535 1433:1433 6:6
3231124284:3231124284 252221496:252221496 0:65535 3031:3031 6:6
3231124286:3231124286 252235972:252235972 0:65535 1550:1550 6:6
3231124286:3231124286 252235972:252235972 0:65535 0:65535 6:6
3231124280:3231124280 252349470:252349470 0:65535 1526:1526 6:6
3231124280:3231124280 252350164:252350164 0:65535 1526:1526 6:6
3231124280:3231124280 252350443:252350443 0:65535 1526:1526 6:6
3231124285:3231124285 252364964:252364964 0:65535 5542:5542 6:6
3231124285:3231124285 252364964:252364964 0:65535 5543:5543 6:6
3231124285:3231124285 252364994:252364994 0:65535 5540:5540 6:6
3231124285:3231124285 252364994:252364994 0:65535 5541:5541 6:6
3231124285:3231124285 252365113:252365113 0:65535 5540:5540 6:6
3231124285:3231124285 252365113:252365113 0:65535 5541:5541 6:6
3231124285:3231124285 252366663:252366663 0:65535 5540:5540 6:6
3231124285:3231124285 252366663:252366663 0:65535 5541:5541 6:6
3231124227:3231124227 252522746:252522746 0:65535 0:65535 0:255
3231124228:3231124228 252522746:252522746 0:65535 0:65535 0:255
3231124229:3231124229 252522746:252522746 0:65535 0:65535 0:255
3231124230:3231124230 252522746:252522746 0:65535 0:65535 0:255
3231124286:3231124286 252756358:252756358 0:65535 7205:7205 6:6
3231124357:3231124357 252817513:252817513 0:65535 6789:6789 6:6
3231124357:3231124357 252817513:252817513 0:65535 6790:6790 6:6
3231124235:3231124235 253288843:253288843 0:65535 2110:2110 6:6
3231124235:3231124235 253288843:253288843 0:65535 2115:2115 6:6
3231124286:3231124286 253288843:253288843 0:65535 2110:2110 6:6
3231124286:3231124286 253288843:253288843 0:65535 2115:2115 6:6
3231124383:3231124383 253523972:253523975 0:65535 1521:1521 6:6
3231124383:3231124383 253523972:253523972 0:65535 1704:1704 6:6
3231124384:3231124384 253523972:253523975 0:65535 1521:1521 6:6
3231124384:3231124384 253523972:253523972 0:65535 1704:1704 6:6
3231124383:3231124383 253523973:253523973 0:65535 1705:1705 6:6
3231124384:3231124384 253523973:253523973 0:65535 1705:1705 6:6
3231124383:3231124383 253523974:253523974 0:65535 1706:1706 6:6
3231124384:3231124384 253523974:253523974 0:65535 1706:1706 6:6
3231124383:3231124383 253523975:253523975 0:65535 1707:1707 6:6
3231124384:3231124384 253523975:253523975 0:65535 1707:1707 6:6
3231124383:3231124383 253523976:253523976 0:65535 1521:1521 6:6
3231124383:3231124383 253523976:253523976 0:65535 1708:1708 6:6
3231124384:3231124384 253523976:253523976 0:65535 1521:1521 6:6
3231124384:3231124384 253523976:253523976 0:65535 1708:1708 6:6
3231124383:3231124383 253523979:253523979 0:65535 1521:1521 6:6
3231124383:3231124383 253523979:253523979 0:65535 1711:1711 6:6
3231124384:3231124384 253523979:253523979 0:65535 1521:1521 6:6
3231124384:3231124384 253523979:253523979 0:65535 1711:1711 6:6
3231124383:3231124383 253523980:253523980 0:65535 1521:1521 6:6
3231124383:3231124383 253523980:253523980 0:65535 1712:1712 6:6
3231124384:3231124384 253523980:253523980 0:65535 1521:1521 6:6
3231124384:3231124384 253523980:253523980 0:65535 1712:1712 6:6
3231124383:3231124383 253523985:253523985 0:65535 1521:1521 6:6
3231124383:3231124383 253523985:253523985 0:65535 1717:1717 6:6
3231124384:3231124384 253523985:253523985 0:65535 1521:1521 6:6
3231124384:3231124384 253523985:253523985 0:65535 1717:1717 6:6
3231124383:3231124383 253523989:253523989 0:65535 1521:1521 6:6
3231124384:3231124384 253523989:253523989 0:65535 1521:1521 6:6
3231124383:3231124383 253523990:253523990 0:65535 1521:1521 6:6
3231124384:3231124384 253523990:253523990 0:65535 1521:1521 6:6
3231124383:3231124383 253523992:253523992 0:65535 1521:1521 6:6
3231124383:3231124383 253523992:253523992 0:65535 1724:1724 6:6
3231124384:3231124384 253523992:253523992 0:65535 1521:1521 6:6
3231124384:3231124384 253523992:253523992 0:65535 1724:1724 6:6
3231124383:3231124383 253524001:253524001 0:65535 1521:1521 6:6
3231124383:3231124383 253524001:253524001 0:65535 1733:1733 6:6
3231124384:3231124384 253524001:253524001 0:65535 1521:1521 6:6
3231124384:3231124384 253524001:253524001 0:65535 1733:1733 6:6
3231124323:3231124323 253524002:253524002 0:65535 1734:1734 6:6
3231124336:3231124336 253524002:253524002 0:65535 1734:1734 6:6
3231124383:3231124383 253524002:253524002 0:65535 1521:1521 6:6
3231124383:3231124383 253524002:253524002 0:65535 1734:1734 6:6
3231124384:3231124384 253524002:253524002 0:65535 1521:1521 6:6
3231124384:3231124384 253524002:253524002 0:65535 1734:1734 6:6
3231124227:3231124227 254568560:254568560 0:65535 0:65535 0:255
3231124228:3231124228 254568560:254568560 0:65535 0:65535 0:255
3231124229:3231124229 254568560:254568560 0:65535 0:65535 0:255
3231124230:3231124230 254568560:254568560 0:65535 0:65535 0:255
3231124270:3231124270 253286441:253286441 0:65535 30899:30899 6:6
3231124271:3231124271 253286441:253286441 0:65535 27400:27400 6:6
3231123968:3231124479 253286480:253286480 0:65535 0:65535 6:6
3231123968:3231124479 253286480:253286480 0:65535 135:135 6:6
3231123968:3231124479 253286480:253286480 0:65535 135:135 17:17
3231123968:3231124479 253286480:253286480 0:65535 0:65535 1:1
3231123968:3231124479 253286480:253286480 0:65535 8101:65535 6:6
3231123968:3231124479 253286480:253286480 0:65535 8000:65535 6:6
3231124291:3231124291 253478133:253478133 0:65535 1526:1526 6:6
3231124284:3231124284 253501463:253501463 0:65535 1521:1521 6:6
3231124339:3231124339 253501463:253501463 0:65535 1521:1521 6:6
3231124284:3231124284 253501464:253501464 0:65535 1521:1521 6:6
3231124284:3231124284 253501474:253501474 0:65535 3031:3031 6:6
3231124258:3231124258 253501475:253501475 0:65535 1521:1521 6:6
3231124258:3231124258 253501475:253501475 0:65535 27000:27000 6:6
3231124258:3231124258 253501475:253501475 0:65535 65500:65500 6:6
3231124339:3231124339 253501475:253501475 0:65535 1521:1521 6:6
3231124265:3231124265 253523971:253523971 0:65535 1221:1221 6:6
3231124265:3231124265 253523971:253523971 0:65535 0:1299 6:6
3231124265:3231124265 253523971:253523971 0:65535 0:1349 6:6
3231124265:3231124265 253523971:253523971 0:65535 1521:1521 6:6
3231124265:3231124265 253523971:253523971 0:65535 1525:1525 6:6
3231124265:3231124265 253523971:253523971 0:65535 1526:1526 6:6
3231124246:3231124246 253523972:253523972 0:65535 1704:1704 6:6
3231124265:3231124265 253523972:253523975 0:65535 1521:1521 6:6
3231124265:3231124265 253523972:253523972 0:65535 1704:1704 6:6
3231124267:3231124267 253523972:253523972 0:65535 1704:1704 6:6
3231124306:3231124307 253523972:253523972 0:65535 1704:1704 6:6
3231124409:3231124409 253523972:253523972 0:65535 1704:1704 6:6
3231124412:3231124412 253523972:253523972 0:65535 1704:1704 6:6
3231124413:3231124413 253523972:253523972 0:65535 1704:1704 6:6
3231124414:3231124414 253523972:253523972 0:65535 1704:1704 6:6
3231124246:3231124246 253523973:253523973 0:65535 1705:1705 6:6
3231124265:3231124265 253523973:253523973 0:65535 1705:1705 6:6
3231124267:3231124267 253523973:253523973 0:65535 1705:1705 6:6
3231124306:3231124307 253523973:253523973 0:65535 1705:1705 6:6
3231124409:3231124409 253523973:253523973 0:65535 1705:1705 6:6
3231124412:3231124412 253523973:253523973 0:65535 1705:1705 6:6
3231124414:3231124414 253523973:253523973 0:65535 1705:1705 6:6
3231124246:3231124246 253523974:253523974 0:65535 1706:1706 6:6
3231124265:3231124265 253523974:253523974 0:65535 1706:1706 6:6
3231124267:3231124267 253523974:253523974 0:65535 1706:1706 6:6
3231124409:3231124409 253523974:253523974 0:65535 1706:1706 6:6
3231124412:3231124412 253327366:253327366 0:65535 1706:1706 6:6
3231124414:3231124414 253523974:253523974 0:65535 1706:1706 6:6
3231124246:3231124246 253523975:253523975 0:65535 1707:1707 6:6
3231124265:3231124265 253523975:253523975 0:65535 1707:1707 6:6
3231124267:3231124267 253523975:253523975 0:65535 1707:1707 6:6
3231124409:3231124409 253523975:253523975 0:65535 1707:1707 6:6
3231124412:3231124412 253523975:253523975 0:65535 1707:1707 6:6
3231124414:3231124414 253523975:253523975 0:65535 1707:1707 6:6
3231124246:3231124246 253523976:253523976 0:65535 1708:1708 6:6
3231124265:3231124265 253523976:253523976 0:65535 1521:1521 6:6
3231124265:3231124265 253523976:253523976 0:65535 1708:1708 6:6
3231124267:3231124267 253523976:253523976 0:65535 1708:1708 6:6
3231124306:3231124307 253523976:253523976 0:65535 1708:1708 6:6
3231124409:3231124409 253523976:253523976 0:65535 1708:1708 6:6
3231124412:3231124412 253523976:253523976 0:65535 1708:1708 6:6
3231124413:3231124413 253523976:253523976 0:65535 1708:1708 6:6
3231124414:3231124414 253523976:253523976 0:65535 1708:1708 6:6
3231124246:3231124246 253523979:253523979 0:65535 1711:1711 6:6
3231124265:3231124265 253523979:253523979 0:65535 1521:1521 6:6
3231124265:3231124265 253523979:253523979 0:65535 1711:1711 6:6
3231124267:3231124267 253523979:253523979 0:65535 1711:1711 6:6
3231124306:3231124307 253523979:253523979 0:65535 1711:1711 6:6
3231124409:3231124409 253523979:253523979 0:65535 1711:1711 6:6
3231124412:3231124412 253523979:253523979 0:65535 1711:1711 6:6
3231124413:3231124413 253523979:253523979 0:65535 1711:1711 6:6
3231124414:3231124414 253523979:253523979 0:65535 1711:1711 6:6
3231124246:3231124246 253523980:253523980 0:65535 1712:1712 6:6
3231124265:3231124265 253523980:253523981 0:65535 1521:1521 6:6
3231124265:3231124265 253523980:253523980 0:65535 1712:1712 6:6
3231124267:3231124267 253523980:253523980 0:65535 1712:1712 6:6
3231124306:3231124307 253523980:253523980 0:65535 1712:1712 6:6
3231124409:3231124409 253523980:253523980 0:65535 1712:1712 6:6
3231124412:3231124412 253523980:253523980 0:65535 1712:1712 6:6
3231124413:3231124413 253523980:253523980 0:65535 1712:1712 6:6
3231124414:3231124414 253523980:253523980 0:65535 1712:1712 6:6
3231124265:3231124265 253523982:253523982 0:65535 1221:1221 6:6
3231124265:3231124265 253523982:253523982 0:65535 0:1599 6:6
3231124265:3231124265 253523982:253523982 0:65535 0:1649 6:6
3231124265:3231124265 253523982:253523982 0:65535 1521:1521 6:6
3231124265:3231124265 253523982:253523982 0:65535 1525:1525 6:6
3231124265:3231124265 253523982:253523982 0:65535 1526:1526 6:6
3231124265:3231124265 253523982:253523982 0:65535 1489:1489 6:6
3231124265:3231124265 253523982:253523982 0:65535 1490:1490 6:6
3231124246:3231124246 253523983:253523983 0:65535 1221:1221 6:6
3231124246:3231124246 253523983:253523983 0:65535 0:1299 6:6
3231124246:3231124246 253523983:253523983 0:65535 0:1349 6:6
3231124246:3231124246 253523983:253523983 0:65535 1521:1521 6:6
3231124246:3231124246 253523983:253523983 0:65535 1525:1525 6:6
3231124246:3231124246 253523983:253523983 0:65535 1526:1526 6:6
3231124246:3231124246 253523983:253523983 0:65535 1715:1715 6:6
3231124265:3231124265 253523983:253523983 0:65535 1221:1221 6:6
3231124265:3231124265 253523983:253523983 0:65535 0:1299 6:6
3231124265:3231124265 253523983:253523983 0:65535 0:1349 6:6
3231124265:3231124265 253523983:253523983 0:65535 1521:1521 6:6
3231124265:3231124265 253523983:253523983 0:65535 1525:1525 6:6
3231124265:3231124265 253523983:253523983 0:65535 1526:1526 6:6
3231124265:3231124265 253523983:253523983 0:65535 1715:1715 6:6
3231124267:3231124267 253523983:253523983 0:65535 1221:1221 6:6
3231124267:3231124267 253523983:253523983 0:65535 0:1299 6:6
3231124267:3231124267 253523983:253523983 0:65535 0:1349 6:6
3231124267:3231124267 253523983:253523983 0:65535 1521:1521 6:6
3231124267:3231124267 253523983:253523983 0:65535 1525:1525 6:6
3231124267:3231124267 253523983:253523983 0:65535 1526:1526 6:6
3231124267:3231124267 253523983:253523983 0:65535 1715:1715 6:6
3231124306:3231124307 253523983:253523983 0:65535 1715:1715 6:6
3231124246:3231124246 253523985:253523985 0:65535 1717:1717 6:6
3231124265:3231124265 253523985:253523985 0:65535 1521:1521 6:6
3231124265:3231124265 253523985:253523985 0:65535 1717:1717 6:6
3231124267:3231124267 253523985:253523985 0:65535 1717:1717 6:6
3231124306:3231124307 253523985:253523985 0:65535 1717:1717 6:6
3231124409:3231124409 253523985:253523985 0:65535 1717:1717 6:6
3231124412:3231124412 253523985:253523985 0:65535 1717:1717 6:6
3231124414:3231124414 253523985:253523985 0:65535 1717:1717 6:6
3231124246:3231124246 253523992:253523992 0:65535 1724:1724 6:6
3231124265:3231124265 253523992:253523992 0:65535 1724:1724 6:6
3231124267:3231124267 253523992:253523992 0:65535 1724:1724 6:6
3231124306:3231124307 253523992:253523992 0:65535 1724:1724 6:6
3231124409:3231124409 253523992:253523992 0:65535 1724:1724 6:6
3231124412:3231124412 253523992:253523992 0:65535 1724:1724 6:6
3231124414:3231124414 253523992:253523992 0:65535 1724:1724 6:6
